name	Gr	W	L	Tot	W_pct	selection	g_W	g_L	Tot_Gms	g_W_pct
葉伊恬 - 合作金庫	女	6	0	6	1.000	第1次賽入選	18	3	21	0.857
吳映萱 - 國泰人壽	女	6	0	6	1.000	第1次賽入選	18	5	23	0.783
李昱諄 - 國泰人壽	女	7	1	8	0.875	第2次賽入選	23	7	30	0.767
彭郁涵 - 國泰人壽	女	6	1	7	0.857	第2次賽入選	19	9	28	0.679
黃禹喬 - 國泰人壽	女	10	2	12	0.833	第3次賽入選	33	13	46	0.717
陳忞昕 - 合作金庫	女	8	2	10	0.800	第3次賽入選	26	10	36	0.722
簡彤娟 - 國泰人壽	女	10	3	13	0.769	-	34	16	50	0.680
高凡媞 - 國泰人壽	女	10	3	13	0.769	-	32	22	54	0.593
蔡昀恩 - 合作金庫	女	9	3	12	0.750	-	32	13	45	0.711
黃 歆 - 國泰人壽	女	9	3	12	0.750	-	32	15	47	0.681
王媺淇 - 國泰人壽	女	9	3	12	0.750	-	29	16	45	0.644
劉馨尹 - 國泰人壽	女	9	3	12	0.750	-	31	18	49	0.633
鄭先知 - 國泰人壽	女	11	4	15	0.733	-	40	20	60	0.667
王意如 - 合作金庫	女	8	3	11	0.727	-	28	17	45	0.622
陳映蓁 - 國泰人壽	女	7	3	10	0.700	-	24	14	38	0.632
王小昕 - 合作金庫	女	9	4	13	0.692	-	30	19	49	0.612
蘇珮綾 - 合作金庫	女	9	4	13	0.692	-	30	20	50	0.600
陳琦媗 - 合作金庫	女	8	4	12	0.667	-	31	17	48	0.646
鄭樸璿 - 合作金庫	女	8	4	12	0.667	-	27	17	44	0.614
陳思羽 - 國泰人壽	女	4	2	6	0.667	-	14	9	23	0.609
李婉瑄 - 北市大	女	8	4	12	0.667	-	26	21	47	0.553
陳慈瑄 - 高雄中學	女	8	4	12	0.667	-	26	22	48	0.542
貢慕慈 - 合作金庫	女	7	4	11	0.636	-	26	16	42	0.619
朱以晴 - 國泰人壽	女	7	4	11	0.636	-	25	18	43	0.581
吳宜琪 - 北市大	女	7	4	11	0.636	-	23	20	43	0.535
陳亭婷 - 臺灣師大	女	6	4	10	0.600	-	20	14	34	0.588
林珈芝 - 合作金庫	女	6	4	10	0.600	-	18	13	31	0.581
黃君凡 - 合作金庫	女	6	4	10	0.600	-	21	18	39	0.538
張浿珊 - 國泰人壽	女	6	4	10	0.600	-	21	19	40	0.525
張孟媫 - 臺灣體大	女	4	3	7	0.571	-	15	11	26	0.577
林芊瑩 - 國泰人壽	女	5	4	9	0.556	-	20	14	34	0.588
劉如紜 - 合作金庫	女	5	4	9	0.556	-	17	14	31	0.548
李唯寧 - 合作金庫	女	5	4	9	0.556	-	20	18	38	0.526
郭語瑄 - 合作金庫	女	5	4	9	0.556	-	20	18	38	0.526
黃淨嘉 - 合作金庫	女	5	4	9	0.556	-	18	17	35	0.514
裴紫妮 - 臺灣師大	女	5	4	9	0.556	-	19	19	38	0.500
鄭嘉倩 - 國泰人壽	女	5	4	9	0.556	-	18	19	37	0.486
蔡佩蓉 - 合作金庫	女	5	4	9	0.556	-	16	17	33	0.485
林佳慧 - 國泰人壽	女	4	4	8	0.500	-	19	14	33	0.576
梁羽芯 - 合作金庫	女	4	4	8	0.500	-	16	13	29	0.552
廖庭瑤 - 國泰人壽	女	4	4	8	0.500	-	16	14	30	0.533
巫嘉恩 - 國泰人壽	女	4	4	8	0.500	-	16	14	30	0.533
陳祈韻 - 合作金庫	女	4	4	8	0.500	-	18	17	35	0.514
魏安屏 - 國泰人壽	女	4	4	8	0.500	-	16	18	34	0.471
陳皓萱 - 內湖高工	女	4	4	8	0.500	-	16	19	35	0.457
洪苡茿 - 合作金庫	女	3	4	7	0.429	-	14	13	27	0.519
葉珈妤 - 合作金庫	女	3	4	7	0.429	-	14	15	29	0.483
林芯妤 - 國泰人壽	女	3	4	7	0.429	-	12	14	26	0.462
梁羽宸 - 北市大	女	3	4	7	0.429	-	11	16	27	0.407
李霈蓉 - 國泰人壽	女	2	4	6	0.333	-	12	13	25	0.480
林翌蓁 - 高雄中學	女	2	4	6	0.333	-	11	13	24	0.458
蔡豐恩 - 國泰人壽	女	2	4	6	0.333	-	10	12	22	0.455
陳沁伶 - 八馬國際	女	2	4	6	0.333	-	10	12	22	0.455
呂瑀恩 - 合作金庫	女	2	4	6	0.333	-	9	13	22	0.409
林奐諪 - 合作金庫	女	2	4	6	0.333	-	10	15	25	0.400
蔡佳靜 - 合作金庫	女	2	4	6	0.333	-	10	15	25	0.400
陳佳宜 - 國泰人壽	女	2	4	6	0.333	-	9	14	23	0.391
賴萱恩 - 國泰人壽	女	2	4	6	0.333	-	9	14	23	0.391
黃文婷 - 臺灣體大	女	2	4	6	0.333	-	9	15	24	0.375
簡宏卿 - 內湖高工	女	2	4	6	0.333	-	9	16	25	0.360
呂姍穎 - 八馬國際	女	2	4	6	0.333	-	8	15	23	0.348
廖頤暄 - 國泰人壽	女	2	4	6	0.333	-	7	14	21	0.333
梁菀庭 - 國立體大	女	2	4	6	0.333	-	7	15	22	0.318
葉馨榆 - 國泰人壽	女	2	4	6	0.333	-	7	15	22	0.318
黃韞纈 - 合作金庫	女	2	4	6	0.333	-	6	13	19	0.316
黃敏瑜 - 北市大	女	1	4	5	0.200	-	9	13	22	0.409
林琬容 - 國泰人壽	女	1	4	5	0.200	-	8	13	21	0.381
姜沛昀 - 福誠高中	女	1	4	5	0.200	-	7	12	19	0.368
黃薇安 - 合作金庫	女	1	4	5	0.200	-	8	14	22	0.364
呂函叡 - 合作金庫	女	1	4	5	0.200	-	8	14	22	0.364
陳芋臻 - 合作金庫	女	1	4	5	0.200	-	7	13	20	0.350
賴郁蓁 - 合作金庫	女	1	4	5	0.200	-	5	12	17	0.294
楊芸婕 - 國泰人壽	女	1	4	5	0.200	-	5	13	18	0.278
林姿妍 - 臺南桌委	女	1	4	5	0.200	-	5	14	19	0.263
陳瑞翎 - 國泰人壽	女	1	4	5	0.200	-	5	14	19	0.263
洪可珊 - 北市大	女	1	4	5	0.200	-	4	12	16	0.250
謝于璇 - 臺灣師大	女	1	4	5	0.200	-	4	14	18	0.222
鄭晴文 - 國泰人壽	女	1	4	5	0.200	-	4	14	18	0.222
林芯彤 - 國泰人壽	女	0	4	4	0.000	-	7	12	19	0.368
許淳瑄 - 國泰人壽	女	0	4	4	0.000	-	5	12	17	0.294
